Collections,Sales,Buyers,Txns,Owners
ZombieClub Token,"$48,653,052","7,070","10,671",
The Shiboshis,"$48,203,204","3,740","9,563","3,733"
CryptoKitties,"$48,148,423","116,746","798,356","116,056"
Autoglyphs,"$48,001,928",196,363,168
Town Star,"$47,993,295","9,235","32,827",1
Boss Beauties,"$47,953,969","10,524","21,549",
Treeverse,"$47,704,250","5,691","12,625","3,555"
Chain Runners,"$46,979,927","5,114","11,885","3,424"
My Pet Hooligan,"$46,207,934","9,160","16,880",
Akutars,"$46,015,677","2,749","5,602",
Desperate ApeWives,"$45,709,712","5,773","14,127","4,378"
ApeKidsClub,"$43,737,957","10,017","22,107",
The Humanoids,"$43,447,175","10,071","22,435","4,834"
The Sevens,"$42,693,390","6,279","12,056","3,496"
C-01 Official Collection,"$42,400,424","7,114","13,317",
Koala Intelligence Agency,"$42,306,839","8,954","19,202","5,044"
Forgotten Runes,"$41,969,182","4,713","14,379","3,072"
OxyaOriginProject,"$41,747,846","6,280","13,999",
Gods Unchained Immutable,"$41,633,472","40,055","5,459,565","147,683"
Cryptovoxels,"$41,395,612","3,033","11,580","2,333"
Quirkies,"$41,281,838","6,538","15,870",
MurakamiFlowers,"$40,976,254","1,928","2,907",
inbetweeners,"$40,546,428","7,176","13,853",
MOAR by Joan Cornella,"$40,429,026","5,226","9,191",
Alien Worlds,"$40,419,433","477,443","5,530,786","3,488,589"
n,"$40,290,072","5,100","12,911",
Pixel Vault Founders DAO,"$39,719,827","2,234","3,148",
Peaceful Groupies,"$39,544,947","8,993","21,005","3,844"
Jungle Freaks,"$38,546,984","7,543","12,851",
the littles NFT,"$38,145,397","9,286","18,630",
Panini America,"$37,814,003","13,773","775,275","12,298"
The CryptoDads,"$37,715,964","8,266","16,355","6,919"
Smilesss,"$37,582,005","9,348","17,742",
TheHeartProject,"$37,572,972","11,350","23,349","5,776"
Rug Radio - Genesis NFT,"$37,435,160","18,306","31,437",
Degen Toonz,"$36,841,743","8,949","21,928",
Blitmap,"$36,505,860",459,"1,029",629
Farming Tales,"$36,379,108","10,151","173,853","5,515"
SolPunks,"$36,374,196","8,199","18,314","4,853"
MetaHero Universe DAO Tokens,"$36,370,944","7,822","21,534",1
GEN.ART,"$35,646,394","4,494","8,238",
OnChainMonkey,"$35,556,615","6,068","17,909",
GENART,"$35,500,702","4,130","7,546","2,366"
Bored Bunny,"$35,421,116","8,145","12,612",
Decentral Ice Poker,"$35,147,423","2,673","8,416",738
Metasaurs by Dr. DMT,"$34,567,566","7,734","16,200","4,942"
Bloot,"$34,228,195","6,526","15,395","3,898"
Portals,"$33,931,662","4,820","9,465","2,951"
Akuma,"$33,791,842","5,589","13,981",
Tasty Bones,"$32,718,586","5,666","9,134",
Animetas,"$32,569,385","7,053","19,228","4,067"
More Than Gamers,"$32,469,829","15,075","25,668",
Thug Birdz,"$32,029,890","3,905","7,598","2,213"
Crypto Unicorns,"$31,781,647","3,482","25,629",
ALPACADABRAZ,"$31,427,788","7,670","15,490","4,475"
WonderPals,"$31,122,253","15,358","22,725",
Tom Sachs Rocket Factory,"$30,943,557",805,"2,768",199
MoodRollers,"$30,709,440","7,904","14,961",
EveraiDuo,"$30,397,955","9,597","20,607",
NFL All Day,"$30,347,200","33,459","645,075","91,122"
Edenhorde,"$30,318,695","4,588","13,494",
Nifty League DEGENs,"$30,079,681","8,625","24,543",
Creepz Shapeshifters,"$29,990,995","2,943","12,196",
CryptoJanky,"$29,878,451","9,277","17,652",
Party Ape Billionaire Club,"$29,823,574","6,411","13,734","4,499"
SlimHoods,"$29,620,273","8,255","14,782",
Winter Bears,"$29,425,766","10,350","22,698","4,639"
VOX Series 2,"$29,354,914","1,193","2,287",
Janky Heist,"$29,239,189","9,187","17,021","5,822"
Shinsekai,"$29,156,706","9,037","20,983",
Dour Darcels,"$28,894,932","9,349","21,396",
Antonym,"$28,140,654","10,687","18,455",
EightBit,"$27,849,583","7,370","18,923",
The Art of Seasons,"$27,708,191","7,978","18,247",
Candy Digital NFT,"$27,656,847","27,450","403,892",
Meerkat Millionaires Country Club,"$27,381,764","7,991","16,030","4,393"
